仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
オーセントホテル,オーセントホテル_見積.xlsx,北海道産牛肉のトマト煮,,,常温,1080,不明,1350,不明,,,産直別途,,,常温,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ビーフシチュー,,,常温,1080,不明,1350,不明,,,産直別途,,,常温,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,北海道産牛肉のトマト煮とビーフシチューのシチューセット（箱無し）,,,常温,2160,不明,2700,不明,,,産直別途,,,常温,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,スープ各種 単品,,,常温,520,不明,650,不明,,,産直別途,,,常温,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,スープ5種セット（専用箱付）,,,常温,3000,不明,3750,不明,,,産直別途,,,常温,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ジャム6種類セット（箱付）,,,常温,5440,不明,6800,不明,,,産直別途,,,常温,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ショコラテリーヌ・ブルーチーズテリーヌのテリーヌセット（箱有）,,,冷凍,5360,不明,6700,不明,,,産直別途,,,冷凍,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ザッハトルテとショコラテリーヌのチョコセット（箱有）,,,冷凍,4640,不明,5800,不明,,,産直別途,,,冷凍,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ショコラテリーヌとノスタルジア10個 お酒スイーツセット（箱有）,,,冷凍,4800,不明,6000,不明,,,産直別途,,,冷凍,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ブルーチーズテリーヌとベイクドチーズケーキのチーズセット（箱有）,,,冷凍,5200,不明,6500,不明,,,産直別途,,,冷凍,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,ザッハトルテ＋洋梨とハスカップのタルト,,,冷凍,,不明,5400,不明,,,産直別途,,,冷凍,,,,,北海道,,,,"見積価格（仕入単価）が見積に未記載＝空欄（要確認）。見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,パウンドケーキ×焼菓子10個アソートセット オランジェver（箱有）,,,冷蔵,4064,不明,5080,不明,,,産直別途,,,冷蔵（要冷蔵）,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,パウンドケーキ×焼菓子10個アソートセット マロンパウンドver（箱有）,,,冷蔵,4040,不明,5050,不明,,,産直別途,,,冷蔵（要冷蔵）,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,パウンドケーキ×焼菓子10個アソートセット フルーツパウンドver（箱有）,,,冷蔵,4000,不明,5000,不明,,,産直別途,,,冷蔵（要冷蔵）,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,パウンドケーキ×焼菓子10個アソートセット 酒粕パウンドver（箱有）,,,冷蔵,4800,不明,6000,不明,,,産直別途,,,冷蔵（要冷蔵）,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,オランジェ・マロンパウンド・フルーツパウンド3種セット（箱有）,,,冷蔵,4240,不明,5300,不明,,,産直別途,,,冷蔵（要冷蔵）,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
オーセントホテル,オーセントホテル_見積.xlsx,酒粕パウンド・マロンパウンド・フルーツパウンド3種セット（箱有）,,,冷蔵,4960,不明,6200,不明,,,産直別途,,,冷蔵（要冷蔵）,,,,,北海道,,,,"見積価格＝ホテル価格の8掛け。税込/税抜の記載が見積に無いため税区分は不明（要確認）。送料は1万円以上無料・未満一律1,640円（常温/冷蔵/冷凍問わず）"
