仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,豚バラ肉のベーコン（スライス） Poitrine fumée,,100g,冷蔵,625,税抜,900,税込,,,産直別途,100g,製造後30日,要冷蔵（10℃以下）,,,4580578380149,,北海道,フランス産豚バラ使用、桜のチップでスモーク,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,豚バラ肉のベーコン（ブロック） Poitrine fumée,,150g,冷蔵,833,税抜,1200,税込,,,産直別途,150g,製造後30日,要冷蔵（10℃以下）,,,4580578380156,,北海道,フランス産豚バラ使用、桜のチップでスモーク,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,鶏白レバーペースト Pâté de foie blond de volaille,,80g,冷蔵,625,税抜,900,税込,,,産直別途,80g,製造後30日,要冷蔵（10℃以下）,,,4580578380194,,北海道,貴重な鶏の白レバーをクリームと合わせた濃厚な味わい。赤ワインによく合う人気商品,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,鶏肉のリエット 北海道産 Rillettes de poulet,,80g,冷蔵,681,税抜,980,税込,,,産直別途,80g,製造後25日,要冷蔵（10℃以下）,,,4580578380361,,北海道,鶏の脂でつないだ鶏肉のペースト。パンやクラッカーと共に冷えた北海道産ワインと,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,豚モモ肉のハム 北海道産 Jambon blanc,,100g,冷蔵,625,税抜,900,税込,,,産直別途,100g,製造後25日,要冷蔵（10℃以下）,,,4580578380019,,北海道,ノンスモークでしっとりした食感に仕上げた豚モモ肉のハム,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,ビアブルストEZO Bierwurst EZO,,80g,冷蔵,625,税抜,900,税込,,,産直別途,80g,製造後25日,要冷蔵（10℃以下）,,,4580578380071,,北海道,蝦夷鹿肉と豚肉のスパイシーなボロニアソーセージ。ホットサンドやサラダ等,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,北海合鴨のボロニアソーセージ Saucisse de jambon canard,,100g,冷蔵,799,税抜,1150,税込,,,産直別途,100g,製造後25日,要冷蔵（10℃以下）,,,4580578380491,,北海道,北海合鴨彩りの良いボロニアソーセージに。砂肝の食感がアクセント,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,パテ・ド・カンパーニュ Pâté de campagne,,100g,冷蔵,556,税抜,800,税込,,,産直別途,100g,製造後25日,要冷蔵（10℃以下）,,,4580578380316,,北海道,道産豚使用。しっとりと焼き上げ深みのある味わいに,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,蝦夷鹿のパテ Pâté de chevreuil,,100g,冷蔵,625,税抜,900,税込,,,産直別途,100g,製造後25日,要冷蔵（10℃以下）,,,4580578380323,,北海道,蝦夷鹿と合鴨レバー、自家製ベーコンの旨みと香りをまとった上質なパテ,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,丸ごと豚のテリーヌ Fromage de tête,,90g,冷蔵,625,税抜,900,税込,,,産直別途,90g,製造後25日,要冷蔵（10℃以下）,,,4580578380330,,北海道,コルニッションピクルスをアクセントにした豚の様々な部位をゼリー寄せに,,,チルド送料は全国実費（送料見積表は未受領）
