仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
北王よいち,御見積書.pdf,りんごジュース ブレンド 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977020716,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,りんごジュース ハックナイン 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977020310,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,りんごジュース ふじ 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977021119,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,ぶどうジュース ブレンド 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977010717,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,ぶどうジュース バッファロー 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977010113,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,ぶどうジュース ナイヤガラ 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977010311,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,ぶどうジュース ケルナー 180ml,,180ml 単品（ケース入数30本）,常温,490,税抜,700,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977010519,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,ぶどうジュース ピノノワール 180ml,,180ml 単品（ケース入数30本）,常温,490,税抜,700,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977010618,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,トマトジュース（食塩無添加） 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977030210,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,オレンジキャロルミニトマトジュース（食塩無添加） 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977031712,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,サンチェリーミニトマトジュース（食塩無添加） 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977031118,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,なしジュース 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977040011,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,プルーンジュース 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977070018,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,アロニアぶどうジュース 180ml,,180ml 単品（ケース入数30本）,常温,420,税抜,600,不明,,,産直別途,180ml,製造日から1年6ヶ月,常温,ケース30本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977080017,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
北王よいち,御見積書.pdf,りんごジュース ブレンド 500ml,,500ml 単品（ケース入数12本）,常温,700,税抜,1000,不明,,,産直別途,500ml,製造日から1年6ヶ月,常温,ケース12本（北海道1ケース/東北関東中部関西5ケース/中国四国九州10ケース以上）,受注後1週間以内,4937977020747,,北海道余市産,,,,産直別途（混載可能・取引単位未満は送料別途・送料御社負担）。送料表は未受領。賞味期限=製造日から1年6ヶ月。下記価格に消費税は含まれない
